id,factor,pi_value,time
1,24389,3.1416336556808755,2023-12-09 00:29:00
2,27000,3.1415556165527665,2023-12-09 00:30:00
3,29791,3.1416262207744947,2023-12-09 00:31:00
4,32768,3.1415621360116797,2023-12-09 00:32:00
5,35937,3.1416204800638963,2023-12-09 00:33:00
6,39304,3.141567210886769,2023-12-09 00:34:00
7,42875,3.1416159772049452,2023-12-09 00:35:00
8,46656,3.1415712201192867,2023-12-09 00:36:00
9,50653,3.141612395757074,2023-12-09 00:37:00
10,54872,3.1415744293588412,2023-12-09 00:38:00
11,59319,3.141609511594793,2023-12-09 00:39:01
12,64000,3.141577028589768,2023-12-09 00:40:00
13,68921,3.141607162955563,2023-12-09 00:41:00
14,74088,3.1415791561272712,2023-12-09 00:42:01
15,79507,3.141605231098648,2023-12-09 00:43:01
16,85184,3.1415809142959636,2023-12-09 00:44:01
17,91125,3.1416036275266306,2023-12-09 00:45:00
18,97336,3.141582379898584,2023-12-09 00:46:00
19,103823,3.1416022853668917,2023-12-09 00:47:00
20,110592,3.1415836113443634,2023-12-09 00:48:01
21,117649,3.1416011534494763,2023-12-09 00:49:01
22,125000,3.141584653589728,2023-12-09 00:50:01
23,132651,3.1416001921684225,2023-12-09 00:51:00
24,140608,3.1415855416188876,2023-12-09 00:52:00
25,148877,3.141599370544006,2023-12-09 00:53:00
26,157464,3.1415863029318056,2023-12-09 00:54:01
27,166375,3.141598664108154,2023-12-09 00:55:00
28,175616,3.141586959347785,2023-12-09 00:56:00
29,185193,3.1415980533619163,2023-12-09 00:57:01
30,195112,3.1415875283283916,2023-12-09 00:58:00
31,205379,3.141597522636734,2023-12-09 00:59:00
32,1,4.0,2023-12-09 01:00:01
33,1,4.0,2023-12-09 01:01:00
34,8,3.017071817071818,2023-12-09 01:02:00
35,27,3.1786170109992202,2023-12-09 01:03:01
36,64,3.125968606973288,2023-12-09 01:04:00
37,125,3.1495925256000317,2023-12-09 01:05:00
38,216,3.1369630487667557,2023-12-09 01:06:00
39,343,3.1445080992896712,2023-12-09 01:07:00
40,512,3.139639530452431,2023-12-09 01:08:00
41,729,3.1429643950569854,2023-12-09 01:09:00
42,1000,3.140592653839794,2023-12-09 01:10:01
43,1331,3.14234396828467,2023-12-09 01:11:01
44,1728,3.141013949934539,2023-12-09 01:12:00
45,2197,3.142047819701858,2023-12-09 01:13:00
46,2744,3.1412282221150143,2023-12-09 01:14:00
47,3375,3.14188894987959,2023-12-09 01:15:00
48,4096,3.141348512968434,2023-12-09 01:16:00
49,4913,3.1417961952119438,2023-12-09 01:17:01
50,5832,3.141421185826989,2023-12-09 01:18:01
51,6859,3.141738447436511,2023-12-09 01:19:00
52,8000,3.141467653590268,2023-12-09 01:20:00
53,9261,3.141700633289284,2023-12-09 01:21:00
54,10648,3.141498739239878,2023-12-09 01:22:00
55,12167,3.141674843118693,2023-12-09 01:23:01
56,13824,3.141520315626915,2023-12-09 01:24:01
57,15625,3.141656653589722,2023-12-09 01:25:01
58,17576,3.1415357578228837,2023-12-09 01:26:01
59,19683,3.1416434588531876,2023-12-09 01:27:01
60,21952,3.141547099653953,2023-12-09 01:28:00
61,24389,3.1416336556808755,2023-12-09 01:29:00
62,27000,3.1415556165527665,2023-12-09 01:30:00
63,29791,3.1416262207744947,2023-12-09 01:31:00
64,32768,3.1415621360116797,2023-12-09 01:32:00
65,35937,3.1416204800638963,2023-12-09 01:33:00
66,39304,3.141567210886769,2023-12-09 01:34:00
67,42875,3.1416159772049452,2023-12-09 01:35:00
68,46656,3.1415712201192867,2023-12-09 01:36:00
69,50653,3.141612395757074,2023-12-09 01:37:00
70,54872,3.1415744293588412,2023-12-09 01:38:00
71,59319,3.141609511594793,2023-12-09 01:39:00
72,64000,3.141577028589768,2023-12-09 01:40:01
73,68921,3.141607162955563,2023-12-09 01:41:01
74,74088,3.1415791561272712,2023-12-09 01:42:00
75,79507,3.141605231098648,2023-12-09 01:43:00
76,85184,3.1415809142959636,2023-12-09 01:44:00
