"","Make","Make_Year","Color","Body_Type","Mileage_Run","No_of_Owners","Seating_Capacity","Fuel_Type","Transmission","Transmission_Type","Price"
"1","Volkswagen",2017,"silver","sedan",44611,"1st",5,"diesel","7-Speed","Automatic",657000
"2","Hyundai",2016,"red","crossover",20305,"1st",5,"petrol","5-Speed","Manual",682000
"3","Honda",2019,"white","suv",29540,"2nd",5,"petrol","5-Speed","Manual",793000
"4","Renault",2017,"bronze","hatchback",35680,"1st",5,"petrol","5-Speed","Manual",414000
"5","Hyundai",2017,"orange","hatchback",25126,"1st",5,"petrol","5-Speed","Manual",515000
"6","Hyundai",2016,"red","hatchback",52261,"1st",5,"petrol","5-Speed","Manual",604000
"7","Honda",2012,"grey","hatchback",28108,"2nd",5,"petrol","5-Speed","Manual",316000
"8","Tata",2019,"grey","suv",92603,"1st",5,"diesel","6-Speed","Automatic",1419000
"9","Hyundai",2021,"blue","hatchback",16304,"1st",5,"petrol","5-Speed","Manual",710000
"10","Renault",2019,"bronze","hatchback",26350,"2nd",5,"petrol","5-Speed","Manual",392000
"11","Renault",2020,"yellow","muv",35400,"1st",7,"petrol","5-Speed","Manual",613000
"12","Chevrolet",2013,"white","sedan",71450,"1st",5,"diesel","6-Speed","Automatic",598000
"13","Hyundai",2019,"grey","suv",32395,"1st",5,"petrol","7-Speed","Automatic",969000
"14","Tata",2021,"grey","suv",15059,"1st",7,"diesel","6-Speed","Automatic",2100000
"15","Maruti Suzuki",2019,"white","hatchback",31994,"1st",5,"petrol","5-Speed","Manual",666000
"16","Toyota",2020,"white","sedan",13768,"1st",5,"petrol","CVT","Automatic",1039000
"17","Tata",2022,"beige","suv",3174,"1st",5,"petrol","5-Speed","Manual",858000
"18","Renault",2017,"orange","suv",70137,"1st",5,"diesel","6-Speed","Automatic",860000
"19","Toyota",2018,"white","sedan",35913,"2nd",5,"petrol","6-Speed","Automatic",680000
"20","Hyundai",2018,"blue","hatchback",19056,"1st",5,"petrol","5-Speed","Manual",625000
"21","Volkswagen",2017,"brown","sedan",32492,"1st",5,"petrol","5-Speed","Manual",567000
"22","Maruti Suzuki",2014,"yellow","hatchback",22598,"1st",5,"petrol","5-Speed","Manual",371000
"23","Hyundai",2019,"grey","suv",85981,"1st",5,"diesel","6-Speed","Automatic",1076000
"24","Toyota",2017,"blue","hatchback",17791,"1st",5,"petrol","5-Speed","Manual",587000
"25","Hyundai",2016,"white","hatchback",26910,"2nd",5,"petrol","5-Speed","Manual",396000
"26","Maruti Suzuki",2014,"blue","sedan",28562,"1st",5,"petrol","5-Speed","Manual",554000
"27","Hyundai",2019,"white","sedan",40345,"1st",5,"petrol","6-Speed","Automatic",984000
"28","Maruti Suzuki",2019,"grey","hatchback",19550,"1st",5,"petrol","5-Speed","Manual",507000
"29","Hyundai",2017,"red","hatchback",54233,"1st",5,"petrol","5-Speed","Manual",586000
"30","Maruti Suzuki",2017,"blue","hatchback",33113,"1st",5,"petrol","5-Speed","Manual",639000
"31","Maruti Suzuki",2011,"red","hatchback",79565,"1st",5,"petrol","5-Speed","Manual",237000
"32","Honda",2013,"white","sedan",10651,"1st",5,"petrol","5-Speed","Manual",536000
"33","Renault",2020,"bronze","hatchback",27664,"1st",5,"petrol","5-Speed","Manual",456000
"34","Hyundai",2021,"red","hatchback",13389,"1st",5,"petrol","7-Speed","Automatic",1107000
"35","Hyundai",2016,"grey","hatchback",30797,"2nd",5,"petrol","5-Speed","Manual",571000
"36","Honda",2015,"grey","muv",48947,"1st",7,"petrol","5-Speed","Manual",587000
"37","Honda",2017,"white","sedan",37315,"1st",5,"petrol","5-Speed","Manual",629000
"38","Maruti Suzuki",2022,"silver","hatchback",11047,"1st",5,"petrol","5-Speed","Manual",718000
"39","Hyundai",2013,"silver","hatchback",24858,"1st",5,"petrol","5-Speed","Manual",396000
"40","Hyundai",2022,"blue","suv",4839,"1st",5,"petrol","5-Speed","Manual",877000
"41","Tata",2020,"golden","hatchback",16329,"1st",5,"petrol","5-Speed","Manual",774000
"42","Maruti Suzuki",2018,"red","hatchback",57286,"1st",5,"petrol","5-Speed","Manual",554000
"43","Tata",2022,"white","suv",3679,"1st",5,"petrol","6-Speed","Automatic",829000
"44","Hyundai",2014,"white","hatchback",96077,"1st",5,"petrol","5-Speed","Manual",530000
"45","Maruti Suzuki",2017,"grey","hatchback",30406,"1st",5,"petrol","5-Speed","Manual",367000
"46","Hyundai",2018,"grey","hatchback",60873,"1st",5,"petrol","5-Speed","Manual",550000
"47","Maruti Suzuki",2018,"blue","hatchback",24811,"1st",5,"petrol","5-Speed","Manual",660000
"48","Hyundai",2021,"red","hatchback",56275,"1st",5,"petrol","7-Speed","Automatic",998000
"49","Hyundai",2018,"silver","sedan",78981,"1st",5,"diesel","6-Speed","Automatic",1012000
"50","Honda",2021,"silver","sedan",7434,"1st",5,"petrol","7-Speed","Automatic",1537000
"51","Hyundai",2021,"blue","hatchback",10730,"1st",5,"petrol","5-Speed","Manual",908000
"52","Renault",2019,"bronze","hatchback",21996,"1st",5,"petrol","5-Speed","Manual",508000
"53","Maruti Suzuki",2019,"blue","hatchback",3474,"1st",5,"petrol","5-Speed","Manual",417000
"54","Maruti Suzuki",2017,"brown","sedan",64458,"1st",5,"diesel","5-Speed","Manual",725000
"55","Hyundai",2020,"white","hatchback",24360,"1st",5,"petrol","6-Speed","Automatic",980000
"56","Mahindra",2017,"blue","suv",69939,"1st",7,"diesel","5-Speed","Manual",796000
