,case_type,age,sex,race,is_poor,bond,bond_type,prior_F,prior_M,gini,released,sentence_type,sentence,bond_NA,held_wo_bail,sentence_NA
0,F,31.0,M,W,,,7,0.0,0.0,0.44,,,,True,False,True
1,F,60.0,M,B,,,7,13.0,21.0,0.44,0.0,0.0,60.0,True,False,False
2,M,27.0,M,W,,,7,0.0,0.0,0.44,0.0,1.0,12.0,True,False,False
3,M,27.0,M,B,0.0,,7,0.0,9.0,0.44,0.0,1.0,0.985626283367556,True,False,False
4,F,28.0,F,W,0.0,,7,0.0,0.0,0.44,1.0,4.0,0.0,True,False,True
5,M,39.0,M,B,0.0,,7,1.0,0.0,0.44,0.0,0.0,12.0,True,False,False
6,F,35.0,F,B,1.0,,7,0.0,0.0,0.44,1.0,1.0,36.0,True,False,False
7,M,18.0,M,B,0.0,,7,0.0,0.0,0.44,1.0,0.0,6.0,True,False,False
8,F,27.0,M,B,1.0,,7,2.0,6.0,0.44,0.0,1.0,24.0,True,False,False
9,M,21.0,M,W,1.0,,7,0.0,4.0,0.44,1.0,1.0,12.0,True,False,False
10,M,66.0,M,W,0.0,,7,0.0,2.0,0.44,1.0,0.0,5.91375770020534,True,False,False
11,F,25.0,M,B,0.0,,7,7.0,3.0,0.44,0.0,4.0,0.0,True,False,True
12,F,35.0,F,W,0.0,,7,0.0,0.0,0.45,1.0,4.0,0.0,True,False,True
13,F,35.0,F,W,0.0,,7,0.0,4.0,0.45,1.0,1.0,120.0,True,False,False
14,F,31.0,M,W,1.0,,7,1.0,1.0,0.48,1.0,1.0,24.0,True,False,False
15,F,38.0,F,W,1.0,,7,0.0,0.0,0.48,1.0,4.0,0.0,True,False,True
16,F,22.0,M,W,0.0,,7,0.0,0.0,0.48,1.0,4.0,0.0,True,False,True
17,F,40.0,M,W,1.0,,7,16.0,3.0,0.48,1.0,0.0,12.0,True,False,False
18,M,39.0,F,W,1.0,,7,2.0,2.0,0.48,1.0,4.0,0.0,True,False,True
19,M,48.0,M,W,0.0,,7,2.0,0.0,0.48,1.0,0.0,12.0,True,False,False
20,F,34.0,F,W,1.0,,7,0.0,0.0,0.48,1.0,0.0,12.0,True,False,False
21,F,37.0,M,W,0.0,,7,1.0,1.0,0.48,0.0,4.0,0.0,True,False,True
22,F,34.0,F,W,0.0,,7,0.0,1.0,0.48,1.0,4.0,0.0,True,False,True
23,F,20.0,M,W,0.0,,7,0.0,1.0,0.48,1.0,0.0,12.0,True,False,False
24,F,54.0,M,W,0.0,,7,0.0,3.0,0.48,1.0,4.0,0.0,True,False,True
25,F,46.0,M,W,1.0,,7,4.0,7.0,0.48,0.0,4.0,0.0,True,False,True
26,F,28.0,M,W,1.0,,7,2.0,3.0,0.48,0.0,4.0,0.0,True,False,True
27,F,20.0,M,W,1.0,,7,0.0,1.0,0.48,0.0,4.0,0.0,True,False,True
28,F,28.0,M,W,0.0,,7,2.0,3.0,0.48,0.0,2.0,60.0,True,False,False
29,F,27.0,M,W,0.0,,7,2.0,0.0,0.48,1.0,1.0,72.0,True,False,False
30,F,58.0,M,B,0.0,,7,5.0,4.0,0.42,0.0,1.0,12.0,True,False,False
31,F,58.0,M,W,1.0,,7,0.0,0.0,0.44,0.0,1.0,12.0,True,False,False
32,F,55.0,M,W,0.0,,7,0.0,0.0,0.45,,4.0,0.0,True,False,True
33,M,51.0,M,W,0.0,,7,0.0,0.0,0.45,1.0,0.0,12.0,True,False,False
34,M,24.0,M,W,1.0,,7,9.0,3.0,0.4,0.0,0.0,12.0,True,False,False
35,F,38.0,M,W,1.0,,7,3.0,3.0,0.44,1.0,4.0,0.0,True,False,True
36,F,32.0,F,W,,,7,1.0,15.0,0.44,1.0,,,True,False,True
37,F,21.0,M,W,1.0,,7,0.0,0.0,0.44,1.0,1.0,60.0,True,False,False
38,F,30.0,M,B,0.0,,7,0.0,1.0,0.39,0.0,4.0,0.0,True,False,True
39,F,38.0,F,B,1.0,,7,4.0,5.0,0.39,1.0,1.0,24.0,True,False,False
40,F,36.0,M,W,1.0,,7,0.0,0.0,0.39,0.0,0.0,72.0,True,False,False
41,F,36.0,M,W,0.0,,7,0.0,0.0,0.39,0.0,0.0,12.0,True,False,False
42,F,26.0,M,B,1.0,,7,2.0,3.0,0.39,1.0,0.0,24.0,True,False,False
43,F,43.0,F,W,1.0,,7,2.0,3.0,0.39,1.0,0.0,36.0,True,False,False
44,M,56.0,M,B,0.0,,7,0.0,0.0,0.39,1.0,1.0,11.9917864476386,True,False,False
45,F,43.0,F,W,1.0,,7,2.0,4.0,0.39,1.0,4.0,0.0,True,False,True
46,F,49.0,M,B,0.0,,7,7.0,0.0,0.39,0.0,0.0,0.0,True,False,False
47,F,19.0,M,W,0.0,,7,0.0,0.0,0.39,1.0,0.0,24.0,True,False,False
48,F,50.0,M,W,1.0,,7,4.0,0.0,0.49,1.0,2.0,120.0,True,False,False
49,M,28.0,M,B,0.0,,7,0.0,1.0,0.49,,0.0,2.95687885010267,True,False,False
50,M,52.0,M,B,0.0,,7,0.0,1.0,0.49,,0.0,2.95687885010267,True,False,False
51,M,27.0,M,B,1.0,,7,7.0,10.0,0.41,0.0,1.0,12.0,True,False,False
52,F,40.0,M,W,0.0,,7,4.0,22.0,0.41,0.0,4.0,0.0,True,False,True
53,F,28.0,F,B,0.0,,7,1.0,0.0,0.4,1.0,2.0,60.0,True,False,False
54,M,30.0,M,W,0.0,,7,6.0,3.0,0.38,0.0,0.0,24.0,True,False,False
55,F,27.0,M,B,0.0,,7,0.0,3.0,0.38,0.0,1.0,84.0,True,False,False
56,M,35.0,F,W,0.0,,7,0.0,0.0,0.38,1.0,0.0,24.0,True,False,False
57,F,41.0,M,B,0.0,,7,0.0,2.0,0.45,0.0,4.0,0.0,True,False,True
58,M,55.0,F,W,0.0,,7,0.0,1.0,0.45,,0.0,2.95687885010267,True,False,False
59,M,30.0,M,B,1.0,,7,0.0,5.0,0.46,1.0,0.0,12.0,True,False,False
60,M,29.0,M,B,0.0,,7,0.0,7.0,0.44,0.0,0.0,12.0,True,False,False
61,F,39.0,M,W,0.0,,7,6.0,20.0,0.43,0.0,4.0,0.0,True,False,True
62,F,39.0,M,W,1.0,,7,0.0,0.0,0.37,1.0,1.0,60.0,True,False,False
63,F,34.0,M,W,0.0,,7,0.0,0.0,0.43,,4.0,0.0,True,False,True
64,F,28.0,M,W,0.0,,7,10.0,0.0,0.42,0.0,0.0,24.0,True,False,False
65,F,27.0,M,W,1.0,,7,0.0,4.0,0.42,0.0,4.0,0.0,True,False,True
66,F,25.0,F,W,0.0,,7,0.0,0.0,0.44,1.0,0.0,12.0,True,False,False
67,F,33.0,F,W,1.0,,7,0.0,0.0,0.44,1.0,0.0,108.0,True,False,False
68,F,25.0,F,W,0.0,,7,0.0,0.0,0.44,1.0,1.0,36.0,True,False,False
69,F,19.0,M,B,1.0,,7,0.0,0.0,0.41,1.0,4.0,0.0,True,False,True
70,F,18.0,M,W,1.0,,7,0.0,0.0,0.41,1.0,4.0,0.0,True,False,True
71,F,42.0,M,W,0.0,,7,0.0,3.0,0.41,1.0,4.0,0.0,True,False,True
72,F,29.0,M,W,1.0,,7,16.0,0.0,0.46,1.0,4.0,0.0,True,False,True
73,M,53.0,M,W,1.0,,7,0.0,7.0,0.39,1.0,4.0,0.0,True,False,True
74,M,31.0,M,B,1.0,,7,0.0,22.0,0.39,1.0,4.0,0.0,True,False,True
75,F,43.0,F,W,1.0,,7,1.0,3.0,0.39,1.0,4.0,0.0,True,False,True
76,F,44.0,M,W,0.0,,7,0.0,0.0,0.39,1.0,0.0,24.0,True,False,False
77,F,29.0,M,B,1.0,,7,1.0,3.0,0.39,0.0,4.0,0.0,True,False,True
78,F,35.0,F,W,1.0,,7,1.0,3.0,0.39,1.0,1.0,24.0,True,False,False
79,F,29.0,M,B,1.0,,7,0.0,1.0,0.39,1.0,0.0,12.0,True,False,False
80,F,30.0,F,W,1.0,,7,9.0,4.0,0.39,0.0,2.0,60.0,True,False,False
81,F,25.0,M,B,0.0,,7,1.0,0.0,0.39,0.0,4.0,0.0,True,False,True
82,F,37.0,M,W,1.0,,7,9.0,7.0,0.39,1.0,4.0,0.0,True,False,True
83,M,24.0,F,W,1.0,,7,0.0,1.0,0.39,1.0,0.0,12.0,True,False,False
84,M,29.0,M,A,0.0,,7,0.0,0.0,0.37,0.0,1.0,12.0,True,False,False
