"","Rating","Size","Sector","avg_salary","job_state"
"1",3.8,"501 to 1000 employees","Aerospace & Defense",72," NM"
"2",3.4,"10000+ employees","Health Care",87.5," MD"
"3",4.8,"501 to 1000 employees","Business Services",85," FL"
"4",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",76.5," WA"
"5",2.9,"51 to 200 employees","Business Services",114.5," NY"
"6",3.4,"201 to 500 employees","Real Estate",95," TX"
"7",4.1,"501 to 1000 employees","Finance",73.5," MD"
"8",3.8,"201 to 500 employees","Business Services",114," CA"
"9",3.3,"10000+ employees","Health Care",61," NY"
"10",4.6,"51 to 200 employees","Information Technology",140," NY"
"11",3.5,"501 to 1000 employees","Retail",163.5," CA"
"12",4.1,"5001 to 10000 employees","Business Services",85," VA"
"13",3.2,"10000+ employees","Retail",139," TX"
"14",4.1,"201 to 500 employees","Business Services",65.5," WA"
"15",3.7,"10000+ employees","Biotech & Pharmaceuticals",113.5," MA"
"16",3.6,"1001 to 5000 employees","Media",146," NJ"
"17",3.9,"51 to 200 employees","Biotech & Pharmaceuticals",102," MA"
"18",4.3,"201 to 500 employees","Information Technology",153.5," CA"
"19",4.2,"51 to 200 employees","Information Technology",142.5," CA"
"20",4,"501 to 1000 employees","Insurance",87.5," CO"
"21",3.2,"201 to 500 employees","Information Technology",105.5," WA"
"22",3.9,"201 to 500 employees","Insurance",96," TX"
"23",3.8,"501 to 1000 employees","Transportation & Logistics",112.5," IL"
"24",4.3,"51 to 200 employees","Transportation & Logistics",84," KY"
"25",4,"501 to 1000 employees","Information Technology",143," VA"
"26",4,"10000+ employees","Biotech & Pharmaceuticals",86.5," MA"
"27",3.5,"1001 to 5000 employees","Finance",99.5," OR"
"28",3.7,"5001 to 10000 employees","Insurance",47.5," MA"
"29",4,"10000+ employees","Biotech & Pharmaceuticals",84," CT"
"30",4.8,"501 to 1000 employees","Business Services",85," FL"
"31",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",76.5," WA"
"32",3.6,"1001 to 5000 employees","Real Estate",96," MI"
"33",3.8,"10000+ employees","Biotech & Pharmaceuticals",114.5," MA"
"34",3.8,"5001 to 10000 employees","Telecommunications",121," CA"
"35",4.7,"201 to 500 employees","Biotech & Pharmaceuticals",112.5," MA"
"36",4.2,"201 to 500 employees","Information Technology",106," CA"
"37",3.5,"1001 to 5000 employees","Information Technology",107," CA"
"38",4.7,"201 to 500 employees","Aerospace & Defense",110," MA"
"39",3.5,"5001 to 10000 employees","Biotech & Pharmaceuticals",147.5," CA"
"40",3.5,"201 to 500 employees","Insurance",106," NY"
"41",4.2,"201 to 500 employees","Information Technology",88," CA"
"42",3.6,"1 to 50 employees","-1",98.5," MA"
"43",4.2,"51 to 200 employees","Information Technology",142.5," CA"
"44",3.4,"5001 to 10000 employees","Manufacturing",82.5," NJ"
"45",4.3,"1001 to 5000 employees","Real Estate",130," IL"
"46",5,"Unknown","Information Technology",155," DC"
"47",3.7,"10000+ employees","Information Technology",184.5," WA"
"48",3.1,"5001 to 10000 employees","Information Technology",29.5," CO"
"49",4.7,"501 to 1000 employees","Aerospace & Defense",86.5," OH"
"50",3.7,"10000+ employees","Manufacturing",81," IL"
"51",3.8,"501 to 1000 employees","Business Services",91," FL"
"52",3.3,"10000+ employees","Insurance",114.5," MA"
"53",4.6,"1001 to 5000 employees","Aerospace & Defense",68," AL"
"54",3.7,"10000+ employees","Insurance",115," NY"
"55",3.7,"10000+ employees","Aerospace & Defense",109.5," CA"
"56",3.5,"5001 to 10000 employees","Biotech & Pharmaceuticals",75.5," NM"
"57",4.1,"501 to 1000 employees","Information Technology",154.5," CA"
"58",4.7,"51 to 200 employees","Information Technology",143.5," MO"
"59",4.1,"501 to 1000 employees","Finance",73.5," MD"
"60",3.4,"201 to 500 employees","Real Estate",95," TX"
"61",4.4,"201 to 500 employees","Mining & Metals",107," OH"
"62",4.3,"201 to 500 employees","Business Services",115," NY"
"63",3.8,"501 to 1000 employees","Finance",139.5," CA"
"64",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",67," WA"
"65",3.8,"10000+ employees","Retail",85," PA"
"66",2.8,"51 to 200 employees","Biotech & Pharmaceuticals",118," MA"
"67",4.7,"51 to 200 employees","Information Technology",79.5," GA"
"68",3.1,"201 to 500 employees","Business Services",56.5," MA"
"69",3.2,"1 to 50 employees","Business Services",128.5," PA"
"70",4,"10000+ employees","Information Technology",97.5," WA"
"71",4.4,"1 to 50 employees","Information Technology",66.5," IN"
"72",3.6,"10000+ employees","Business Services",179.5," IL"
"73",2.7,"501 to 1000 employees","Business Services",76," MO"
"74",3.9,"501 to 1000 employees","Information Technology",112," VA"
"75",3.1,"1001 to 5000 employees","Mining & Metals",98," PA"
"76",4,"10000+ employees","Information Technology",128," WA"
"77",4.3,"201 to 500 employees","Information Technology",150.5," CA"
"78",1.9,"51 to 200 employees","Biotech & Pharmaceuticals",87.5," MA"
"79",3.3,"1001 to 5000 employees","Aerospace & Defense",110," VA"
"80",4.4,"10000+ employees","Information Technology",113.5," CA"
"81",3.9,"51 to 200 employees","Health Care",124," CA"
"82",4.7,"201 to 500 employees","Business Services",56.5," PA"
"83",4.5,"5001 to 10000 employees","Aerospace & Defense",130," MD"
"84",4.3,"51 to 200 employees","Information Technology",77.5," IL"
"85",4,"201 to 500 employees","Business Services",87," VA"
"86",4.4,"501 to 1000 employees","Business Services",53.5," WA"
"87",3.2,"10000+ employees","Retail",139," TX"
"88",3.8,"201 to 500 employees","Business Services",114," CA"
