State,Case number,Vehicle count,People count IN,People count OUT,Day,Month,Year,Day of week,Hour,Minute
District of Columbia,110001,1,1,1,11,2,2019,2,23,34
District of Columbia,110002,1,1,1,20,2,2019,4,18,25
District of Columbia,110003,1,1,1,5,3,2019,3,21,1
District of Columbia,110004,2,2,0,13,5,2019,2,5,19
District of Columbia,110005,1,2,0,4,8,2019,1,4,7
District of Columbia,110006,4,7,0,5,4,2019,6,2,45
District of Columbia,110007,2,5,1,21,4,2019,1,14,55
District of Columbia,110008,1,1,0,20,4,2019,7,6,58
District of Columbia,110009,2,2,1,19,4,2019,6,10,5
District of Columbia,110010,1,1,1,3,5,2019,6,23,22
District of Columbia,110011,1,1,0,21,4,2019,1,3,51
District of Columbia,110012,1,1,1,17,5,2019,6,22,28
District of Columbia,110013,1,1,1,13,8,2019,3,21,54
District of Columbia,110014,2,2,0,30,9,2019,2,19,55
District of Columbia,110015,3,8,0,2,10,2019,4,7,25
District of Columbia,110016,2,5,0,22,10,2019,3,5,5
District of Columbia,110017,1,2,1,24,10,2019,5,9,30
District of Columbia,110018,1,3,0,8,11,2019,6,0,32
District of Columbia,110019,1,2,0,30,10,2019,4,10,58
District of Columbia,110020,1,1,1,8,11,2019,6,19,55
District of Columbia,110022,3,5,0,17,12,2019,3,13,58
District of Columbia,110023,1,1,0,24,12,2019,3,0,0
Maryland,240001,2,3,1,7,1,2019,2,5,55
Maryland,240002,3,3,0,3,1,2019,5,6,43
Maryland,240003,2,4,1,6,1,2019,1,15,30
Maryland,240004,1,1,1,1,1,2019,3,12,21
Maryland,240005,2,2,0,5,1,2019,7,23,39
Maryland,240006,1,1,0,12,1,2019,7,14,40
Maryland,240007,1,1,0,9,1,2019,4,5,38
Maryland,240008,1,2,0,17,1,2019,5,1,12
Maryland,240009,2,3,0,22,1,2019,3,7,49
Maryland,240010,2,2,0,22,1,2019,3,5,42
Maryland,240011,1,1,1,16,1,2019,4,20,30
Maryland,240012,1,1,0,18,1,2019,6,12,6
Maryland,240013,1,1,0,24,1,2019,5,7,34
Maryland,240014,1,1,1,25,1,2019,6,21,40
Maryland,240016,1,1,1,26,1,2019,7,0,3
Maryland,240017,1,1,1,12,1,2019,7,7,11
Maryland,240018,2,2,0,28,1,2019,2,17,55
Maryland,240019,2,2,0,16,1,2019,4,8,2
Maryland,240020,2,3,0,8,1,2019,3,6,27
Maryland,240021,3,3,0,26,1,2019,7,6,40
Maryland,240022,3,10,0,20,1,2019,1,15,20
Maryland,240023,1,1,0,31,1,2019,5,2,16
Maryland,240024,2,2,0,4,2,2019,2,17,3
Maryland,240025,1,1,0,3,2,2019,1,2,46
Maryland,240026,2,2,0,6,2,2019,4,16,6
Maryland,240027,2,2,0,4,2,2019,2,13,19
Maryland,240028,1,1,0,6,1,2019,1,17,25
Maryland,240029,1,1,0,9,2,2019,7,20,43
Maryland,240030,1,2,1,20,1,2019,1,13,22
Maryland,240031,1,1,1,11,2,2019,2,0,47
Maryland,240032,1,2,2,11,2,2019,2,18,34
Maryland,240033,1,1,0,7,2,2019,5,20,9
Maryland,240034,3,3,0,11,2,2019,2,4,55
Maryland,240035,1,1,1,9,1,2019,4,18,19
Maryland,240036,1,4,0,10,2,2019,1,3,53
Maryland,240037,1,7,0,2,2,2019,7,4,25
Maryland,240038,1,1,1,13,2,2019,4,19,11
Maryland,240039,3,3,0,15,2,2019,6,18,20
Maryland,240040,2,3,0,15,2,2019,6,14,25
Maryland,240041,1,1,1,15,2,2019,6,20,48
Maryland,240042,2,2,0,16,2,2019,7,2,0
Maryland,240043,2,2,1,12,2,2019,3,23,43
Maryland,240044,2,1,1,16,2,2019,7,9,56
Maryland,240045,3,6,0,7,2,2019,5,22,32
Maryland,240046,2,3,0,16,2,2019,7,11,43
Maryland,240047,1,2,0,19,2,2019,3,12,0
Maryland,240048,1,2,1,20,2,2019,4,18,25
Maryland,240049,1,1,1,27,1,2019,1,13,11
Maryland,240050,2,3,0,5,2,2019,3,16,22
Maryland,240051,1,1,1,17,1,2019,5,3,50
Maryland,240052,2,2,0,17,2,2019,1,23,16
Maryland,240053,1,2,0,24,2,2019,1,18,31
Maryland,240054,3,4,0,18,2,2019,2,21,56
Maryland,240055,2,4,0,1,3,2019,6,3,51
Maryland,240056,2,3,0,21,2,2019,5,22,14
Maryland,240057,2,2,0,9,2,2019,7,20,54
Maryland,240058,2,4,0,3,3,2019,1,18,12
Maryland,240059,1,1,0,2,3,2019,7,4,16
Maryland,240060,2,2,0,23,2,2019,7,0,41
Maryland,240061,1,1,0,8,2,2019,6,14,19
Maryland,240062,1,1,0,5,3,2019,3,7,10
Maryland,240063,2,2,0,20,1,2019,1,3,6
Maryland,240064,1,1,1,3,1,2019,5,17,11
Maryland,240065,1,1,0,27,2,2019,4,2,20
Maryland,240066,1,1,1,25,2,2019,2,21,45
Maryland,240067,2,3,0,11,3,2019,2,16,2
Maryland,240068,4,8,0,12,3,2019,3,1,18
Maryland,240069,3,6,0,15,3,2019,6,1,26
Maryland,240070,2,2,0,3,3,2019,1,12,44
Maryland,240071,1,1,0,12,3,2019,3,2,7
Maryland,240072,1,1,1,15,2,2019,6,3,36
Maryland,240073,12,16,0,11,3,2019,2,7,4
Maryland,240074,2,4,0,15,3,2019,6,15,29
Maryland,240075,1,1,0,17,3,2019,1,9,57
Maryland,240076,3,7,0,17,3,2019,1,2,30
Maryland,240077,1,1,0,3,3,2019,1,22,35
Maryland,240078,1,1,0,23,3,2019,7,20,26
Maryland,240079,2,2,0,10,3,2019,1,16,3
Maryland,240080,3,2,1,6,3,2019,4,18,23
Maryland,240081,1,2,0,24,3,2019,1,3,11
Maryland,240082,2,3,0,28,3,2019,5,9,58
Maryland,240083,1,1,0,17,3,2019,1,23,49
Maryland,240084,1,1,0,30,3,2019,7,11,30
Maryland,240085,1,1,0,21,3,2019,5,8,21
Maryland,240086,1,1,0,31,3,2019,1,1,35
Maryland,240087,1,1,0,2,4,2019,3,11,50
Maryland,240088,2,3,0,17,3,2019,1,15,25
Maryland,240089,3,2,1,9,4,2019,3,0,14
Maryland,240090,1,1,0,10,4,2019,4,20,31
Maryland,240091,2,4,0,9,4,2019,3,11,25
Maryland,240092,2,5,0,8,4,2019,2,6,24
Maryland,240093,2,2,0,13,4,2019,7,23,8
Maryland,240094,3,3,0,11,4,2019,5,13,3
Maryland,240095,7,9,0,10,4,2019,4,6,25
Maryland,240096,1,1,1,16,4,2019,3,20,6
Maryland,240097,1,1,1,8,4,2019,2,12,15
Maryland,240098,2,2,0,18,3,2019,2,19,52
Maryland,240099,1,1,1,10,4,2019,4,21,10
Maryland,240100,1,1,1,11,4,2019,5,14,24
Maryland,240101,1,1,0,20,4,2019,7,1,21
Maryland,240102,1,3,0,21,4,2019,1,11,15
Maryland,240103,1,1,1,6,1,2019,1,15,57
Maryland,240104,1,4,0,18,4,2019,5,22,27
Maryland,240105,2,2,0,18,4,2019,5,5,58
Maryland,240106,1,2,0,20,4,2019,7,11,25
Maryland,240107,3,4,0,25,4,2019,5,5,30
Maryland,240108,3,7,0,11,4,2019,5,21,11
Maryland,240109,2,2,0,10,4,2019,4,22,1
Maryland,240111,1,3,0,21,2,2019,5,23,5
Maryland,240112,3,3,2,30,4,2019,3,3,39
Maryland,240113,2,2,0,26,3,2019,3,3,4
