Sex	Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
M	35	1593	269	M35-39	35-39	198.9	N	NY
M	28	544	96	M25-29	25-29	178.7	Y	NY
M	32	2296	399	M30-34	30-34	206.63	N	NY
M	34	1192	239	M30-34	30-34	191.9	N	NY
F	26	64	4	F25-29	25-29	154.85	Y	MEX
M	28	536	94	M25-29	25-29	178.52	Y	POL
M	42	553	68	M40-44	40-44	178.83	Y	MEX
M	50	971	40	M50-54	50-54	188.1	Y	NY
M	31	1412	277	M30-34	30-34	196.13	N	NJ
F	50	2080	10	F50-54	50-54	204.57	Y	NY
M	26	1546	229	M25-29	25-29	198.25	N	TX
M	28	2422	354	M25-29	25-29	207.83	N	NY
M	36	286	58	M35-39	35-39	170.97	Y	MA
M	43	2208	307	M40-44	40-44	205.78	N	GBR
M	34	92	26	M30-34	30-34	158.62	Y	NY
M	36	559	111	M35-39	35-39	178.95	Y	COL
F	40	2063	48	F40-44	40-44	204.43	Y	NY
F	22	1476	12	F20-24	20-24	197.18	Y	NY
F	41	1576	33	F40-44	40-44	198.68	Y	FL
M	35	209	44	M35-39	35-39	167.75	Y	EGY
M	36	2423	386	M35-39	35-39	207.83	N	NJ
M	36	1586	267	M35-39	35-39	198.85	N	CT
M	32	40	12	M30-34	30-34	149.28	Y	NY
M	41	912	129	M40-44	40-44	186.75	Y	HUN
F	39	1132	30	F35-39	35-39	190.83	Y	NY
M	38	1836	304	M35-39	35-39	201.82	N	IL
M	50	243	2	M50-54	50-54	169.42	Y	CO
F	29	1547	60	F25-29	25-29	198.27	Y	MEX
M	38	506	101	M35-39	35-39	177.83	Y	UKR
M	30	1199	242	M30-34	30-34	192.08	N	NY
M	44	1168	174	M40-44	40-44	191.47	N	TX
M	36	2067	339	M35-39	35-39	204.45	N	CA
M	36	2481	398	M35-39	35-39	208.23	N	UT
M	28	1436	220	M25-29	25-29	196.5	N	CT
M	33	1861	343	M30-34	30-34	202.05	N	FRA
M	30	1874	345	M30-34	30-34	202.18	N	NY
M	37	1879	310	M35-39	35-39	202.27	N	NY
M	54	1411	81	M50-54	50-54	196.1	Y	MN
M	31	274	73	M30-34	30-34	170.52	Y	KY
F	26	285	11	F25-29	25-29	170.95	Y	NY
M	52	517	9	M50-54	50-54	178.07	Y	CT
M	38	2274	362	M35-39	35-39	206.43	N	NOR
M	33	1533	301	M30-34	30-34	198.03	N	NY
M	36	58	8	M35-39	35-39	153.55	Y	CA
M	28	261	59	M25-29	25-29	170.03	Y	NY
F	30	282	11	F30-34	30-34	170.82	Y	NY
M	26	1550	232	M25-29	25-29	198.32	N	NY
M	26	2410	353	M25-29	25-29	207.73	N	NY
M	29	2250	333	M25-29	25-29	206.18	N	ESP
M	31	556	135	M30-34	30-34	178.92	Y	CA
M	34	1474	289	M30-34	30-34	197.12	N	ISR
M	31	2291	397	M30-34	30-34	206.6	N	NY
M	47	903	72	M45-49	45-49	186.62	Y	FRA
M	47	1154	103	M45-49	45-49	191.15	Y	NY
M	29	1501	225	M25-29	25-29	197.47	N	OR
M	34	1448	285	M30-34	30-34	196.68	N	NY
M	25	1147	180	M25-29	25-29	191.07	N	MA
F	27	26	2	F25-29	25-29	144.7	Y	AZ
M	51	1454	82	M50-54	50-54	196.77	Y	CA
M	31	294	77	M30-34	30-34	171.6	Y	NY
M	27	76	23	M25-29	25-29	156.75	Y	NY
M	53	1171	56	M50-54	50-54	191.5	Y	JPN
M	50	1134	53	M50-54	50-54	190.87	Y	NY
F	24	2461	34	F20-24	20-24	208.05	Y	SC
M	36	1856	307	M35-39	35-39	201.98	N	NJ
M	35	2292	365	M35-39	35-39	206.62	N	NY
F	43	2220	51	F40-44	40-44	205.9	Y	NY
F	46	2060	18	F45-49	45-49	204.42	Y	NY
M	25	230	51	M25-29	25-29	169	Y	NY
M	50	2486	147	M50-54	50-54	208.27	N	CAN
F	26	572	21	F25-29	25-29	179.07	Y	NY
M	53	2480	146	M50-54	50-54	208.22	N	NJ
M	20	581	23	M20-24	20-24	179.23	Y	NJ
