State,Fatal crashes,Licensed drivers,Hand held ban
Alabama,930,4026,1
Alaska,67,529,1
Arizona,981,5369,2
Arkansas,505,2154,2
California,3606,27214,3
Colorado,596,4235,1
Connecticut,249,2608,3
Delaware,132,813,3
District of Columbia,23,536,3
Florida,3183,15561,2
Georgia,1491,7261,3
Hawaii,108,943,3
Idaho,224,1253,3
Illinois,1009,8547,3
Indiana,809,4589,3
Iowa,336,2274,1
Kansas,411,2154,1
Kentucky,732,3030,1
Louisiana,727,3435,2
Maine,157,1046,3
Maryland,521,4464,3
Massachusetts,334,4950,3
Michigan,985,7141,1
Minnesota,364,3391,3
Mississippi,643,2058,1
Missouri,880,4274,1
Montana,184,812,1
Nebraska,248,1431,1
Nevada,304,2054,3
New Hampshire,101,1195,3
New Jersey,559,6377,3
New Mexico,424,1450,1
New York,931,12194,3
North Carolina,1373,7620,2
North Dakota,100,556,1
Ohio,1153,8033,2
Oklahoma,640,2523,2
Oregon,489,2931,3
Pennsylvania,1059,8988,1
Rhode Island,57,761,3
South Carolina,1001,3878,1
South Dakota,102,638,3
Tennessee,1135,5422,2
Texas,3615,17823,2
Utah,248,2121,1
Vermont,47,565,3
Virginia,831,5888,2
Washington,519,5711,3
West Virginia,260,1130,3
Wisconsin,566,4297,2
Wyoming,147,424,1
